,aldh1a2_4mer_apo.1,aldh1a2_4mer_apo.2,aldh1a2_4mer_apo.3,aldh1a2_4mer_apo_lig.1,aldh1a2_4mer_apo_lig.2,aldh1a2_4mer_apo_lig.3,aldh1a2_4mer_nad.1,aldh1a2_4mer_nad.2,aldh1a2_4mer_nad.3,aldh1a2_4mer_nad_lig.1,aldh1a2_4mer_nad_lig.2,aldh1a2_4mer_nad_lig.3,aldh2_4mer_apo.1,aldh2_4mer_apo.2,aldh2_4mer_apo.3,aldh2_4mer_apo_lig.1,aldh2_4mer_apo_lig.2,aldh2_4mer_apo_lig.3,aldh2_4mer_nad.1,aldh2_4mer_nad.2,aldh2_4mer_nad.3,aldh2_4mer_nad_lig.1,aldh2_4mer_nad_lig.2,aldh2_4mer_nad_lig.3
24,489.56250000000006,469.1,287.5525,568.9425,588.44,575.7475,442.585,340.525,471.69,503.98249999999996,428.4925,514.7825,449.6575,421.9575,371.6825,598.2125000000001,544.5875,493.34499999999997,365.255,402.57000000000005,408.62,589.195,572.8325,508.46500000000003
25,472.66,462.72249999999997,243.4325,579.3125,630.5025,605.5025,456.24750000000006,417.9075,502.2,478.1175,479.3575,504.63,432.5400000000001,392.3125,355.04999999999995,566.4575,533.7349999999999,478.385,442.74749999999995,371.36,427.68,607.9324999999999,530.875,510.355
26,480.7075,429.14,260.605,548.3675000000001,568.8875,562.0849999999999,453.545,378.27,477.955,501.6075,438.155,498.96,401.32500000000005,415.9625,300.0775,607.6100000000001,525.3125,505.6575,396.2525,420.92999999999995,472.3375,563.22,527.3625,515.2125
27,483.19499999999994,455.3825,336.47249999999997,561.2774999999999,572.8325,587.25,423.84749999999997,412.725,472.285,560.3075,452.62749999999994,488.48499999999996,446.9025,367.3075,305.20750000000004,570.8375,588.0074999999999,514.5100000000001,383.99250000000006,395.39,472.23,614.0350000000001,520.1275,492.4775
28,487.07750000000004,379.94500000000005,333.3925,563.435,587.0875000000001,559.2225,488.485,381.0775,476.82,523.0975,474.065,520.3975,388.9125,372.70500000000004,352.7300000000001,591.84,591.3525,487.89,376.975,394.575,406.1875,572.4525,505.44,502.2
29,523.2624999999999,395.92499999999995,281.8775,557.0625,567.9200000000001,547.02,489.56250000000006,354.34749999999997,464.2900000000001,516.9975000000001,476.54999999999995,556.2,407.37499999999994,442.91,355.8075,560.14,527.96,501.2275,418.55249999999995,359.09999999999997,452.03249999999997,572.1850000000001,539.73,497.9325
30,483.3,392.6875,280.0975,526.3925,584.9825000000001,550.5825,497.1775,338.03999999999996,397.98,501.8775,443.77,521.9125,369.5775,424.0625,359.5875,565.8675000000001,571.105,505.76250000000005,446.96000000000004,398.515,377.2975,592.81,568.2950000000001,510.02750000000003
31,502.0425,487.3525,325.295,562.4075,612.4675,516.1875,467.4225,366.71500000000003,451.60249999999996,528.28,434.59000000000003,515.755,391.9825000000001,382.375,392.84749999999997,576.0725,572.1275,531.3075,396.57500000000005,418.175,454.3025,591.4074999999999,532.2225,526.5550000000001
32,511.43500000000006,465.2125,307.315,612.2525,634.7149999999999,577.0450000000001,414.02000000000004,342.575,413.1,499.0125,491.4525,525.0450000000001,367.63249999999994,461.15749999999997,399.71000000000004,513.755,541.35,508.5175,385.02250000000004,359.90999999999997,460.7275,588.435,549.34,500.5799999999999
33,538.4325,467.5325,327.62,562.195,620.73,598.2625,504.845,383.28999999999996,487.135,538.9725000000001,455.4375,524.285,394.63250000000005,408.0225,384.97,574.4525,599.9925000000001,557.7675,395.9825,418.22749999999996,386.425,580.175,541.89,498.09749999999997
